                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.72398,                 1.6655,                 1.2291,                 0.7348,                0.71179,                0.70874,                0.61632,                0.56011,                0.77275,                 1.1265,              0.0033313,              0.0033313,              0.0033313
                      2,                0.71271,                0.97345,                 1.1951,                0.70151,                0.72403,                0.74163,                0.63603,                0.60627,                0.76312,                 1.1481,              0.0063348,              0.0063348,              0.0063348
                      3,                0.77503,                0.97341,                  1.229,                 0.6934,                0.73212,                0.75691,                0.64469,                0.61452,                0.73563,                 1.1567,              0.0090082,              0.0090082,              0.0090082
                      4,                0.77542,                0.92329,                 1.2269,                0.71472,                0.74283,                0.77189,                0.66332,                0.60629,                0.69054,                 1.1519,               0.008515,               0.008515,               0.008515
                      5,                0.73971,                0.85742,                 1.2048,                 0.7314,                0.77307,                0.79374,                0.69734,                0.55525,                0.62487,                 1.1088,                0.00802,                0.00802,                0.00802
                      6,                0.71895,                  0.815,                 1.1902,                0.74522,                0.77992,                0.80372,                0.71434,                0.52945,                0.59114,                 1.0834,               0.007525,               0.007525,               0.007525
                      7,                0.69952,                0.78446,                 1.1781,                0.75006,                0.78878,                0.80912,                0.72347,                0.50673,                0.56274,                 1.0651,                0.00703,                0.00703,                0.00703
                      8,                0.68615,                0.76064,                 1.1682,                0.76272,                0.78728,                0.81144,                0.73046,                0.49663,                0.55112,                 1.0528,               0.006535,               0.006535,               0.006535
                      9,                0.67198,                0.73323,                 1.1603,                0.76584,                0.79714,                0.81867,                0.74065,                0.48329,                0.52576,                  1.043,                0.00604,                0.00604,                0.00604
                     10,                0.65852,                0.71515,                 1.1497,                0.76856,                0.80507,                0.82299,                0.74955,                 0.4705,                0.51254,                 1.0319,               0.005545,               0.005545,               0.005545
                     11,                0.52522,                0.57842,                 1.0764,                0.77804,                0.80608,                0.82731,                0.75957,                0.45107,                0.48654,                  1.014,                0.00505,                0.00505,                0.00505
                     12,                0.50523,                0.55103,                 1.0592,                0.78191,                0.80806,                0.83118,                0.76636,                0.43883,                 0.4673,                 1.0013,               0.004555,               0.004555,               0.004555
                     13,                0.49088,                0.52864,                 1.0459,                0.78688,                0.81503,                0.83484,                0.77427,                0.42713,                0.45378,                0.99142,                0.00406,                0.00406,                0.00406
                     14,                 0.4788,                0.50992,                 1.0363,                0.78942,                0.82271,                0.83805,                  0.779,                 0.4187,                0.44078,                0.98478,               0.003565,               0.003565,               0.003565
                     15,                0.46546,                0.49129,                 1.0253,                0.79823,                0.81953,                0.83979,                0.78255,                0.41244,                0.43175,                0.97914,                0.00307,                0.00307,                0.00307
                     16,                0.45371,                0.47384,                 1.0166,                0.79902,                0.82171,                0.84194,                0.78743,                0.40585,                0.42261,                0.97381,               0.002575,               0.002575,               0.002575
                     17,                0.44238,                0.45898,                 1.0052,                0.80326,                 0.8213,                0.84368,                0.79077,                0.40012,                 0.4155,                 0.9683,                0.00208,                0.00208,                0.00208
                     18,                0.43156,                0.44243,                0.99816,                0.80447,                0.82306,                0.84479,                0.79246,                0.39674,                0.40821,                0.96566,               0.001585,               0.001585,               0.001585
                     19,                0.42149,                0.42746,                 0.9912,                0.80681,                0.82316,                0.84569,                0.79435,                0.39312,                 0.4029,                0.96261,                0.00109,                0.00109,                0.00109
                     20,                0.41197,                 0.4125,                0.98223,                0.80506,                0.82808,                0.84665,                0.79586,                0.39141,                0.39914,                0.96094,               0.000595,               0.000595,               0.000595
