crops,growth_stage,ti_value,hi_value,ci_value,ir_value
Mustard_greens,Growing,20,59,349,93
Mustard_greens,Growing,21,54,333,89
Mustard_greens,Growing,21,53,323,21
Mustard_greens,Growing,21,55,323,77
Mustard_greens,Growing,21,54,325,98
Mustard_greens,Growing,21,55,322,122
Mustard_greens,Growing,21,54,435,122
Mustard_greens,Growing,21,53,414,110
Mustard_greens,Growing,22,52,384,61
Mustard_greens,Growing,23,52,340,89
Mustard_greens,Growing,22,50,334,89
Mustard_greens,Growing,19,58,361,170
Mustard_greens,Growing,22,54,343,158
Mustard_greens,Growing,21,55,482,166
Mustard_greens,Growing,21,54,449,98
Mustard_greens,Growing,21,54,421,134
Mustard_greens,Growing,22,55,829,134
Mustard_greens,Growing,21,52,728,98
Mustard_greens,Growing,22,53,477,98
Mustard_greens,Growing,23,52,443,37
Mustard_greens,Harvest,22,61,358,25
Mustard_greens,Harvest,22,63,378,17
Mustard_greens,Harvest,21,62,312,0
Mustard_greens,Harvest,21,61,273,0
Mustard_greens,Harvest,21,61,244,0
Mustard_greens,Harvest,21,61,228,9
Mustard_greens,Harvest,21,62,254,17
Mustard_greens,Harvest,22,60,225,17
Mustard_greens,Harvest,22,62,206,0
Mustard_greens,Harvest,22,60,313,69
Mustard_greens,Harvest,19,60,419,89
Mustard_greens,Harvest,21,61,350,69
Mustard_greens,Harvest,21,62,293,37
Mustard_greens,Harvest,21,61,256,65
Mustard_greens,Harvest,21,63,231,37
Mustard_greens,Harvest,21,63,206,33
Mustard_greens,Harvest,21,62,175,21
Mustard_greens,Harvest,21,62,294,33
Mustard_greens,Harvest,22,61,248,65
Mustard_greens,Harvest,22,62,215,21
Mustard_greens,Set,21,55,375,158
Mustard_greens,Set,21,55,368,89
Mustard_greens,Set,21,54,353,85
Mustard_greens,Set,21,54,338,106
Mustard_greens,Set,21,58,405,85
Mustard_greens,Set,21,54,384,89
Mustard_greens,Set,21,54,365,93
Mustard_greens,Set,22,51,349,98
Mustard_greens,Set,22,50,341,93
Mustard_greens,Set,22,53,322,85
Mustard_greens,Set,21,54,417,89
Mustard_greens,Set,21,54,475,25
Mustard_greens,Set,21,55,449,21
Mustard_greens,Set,21,54,426,102
Mustard_greens,Set,21,54,427,85
Mustard_greens,Set,21,54,413,49
Mustard_greens,Set,21,53,407,114
Mustard_greens,Set,22,51,399,102
Mustard_greens,Set,22,52,391,89
Mustard_greens,Set,22,52,380,85
Lettuce,Growing,22,52,329,85
Lettuce,Growing,22,52,322,154
Lettuce,Growing,22,53,320,65
Lettuce,Growing,22,53,326,33
Lettuce,Growing,22,53,318,37
Lettuce,Growing,22,53,430,102
Lettuce,Growing,22,52,420,93
Lettuce,Growing,22,53,401,150
Lettuce,Growing,22,54,385,61
Lettuce,Growing,22,53,367,85
Lettuce,Growing,22,52,355,162
Lettuce,Growing,22,52,341,37
Lettuce,Growing,22,51,329,81
Lettuce,Growing,23,52,321,102
Lettuce,Growing,22,54,496,81
Lettuce,Growing,22,53,430,57
Lettuce,Growing,22,56,749,29
Lettuce,Growing,22,53,746,13
Lettuce,Growing,22,50,529,162
Lettuce,Growing,22,51,451,85
Lettuce,Harvest,22,59,372,77
Lettuce,Harvest,22,63,378,17
Lettuce,Harvest,22,60,374,21
Lettuce,Harvest,22,61,320,0
Lettuce,Harvest,22,61,283,9
Lettuce,Harvest,22,60,251,0
Lettuce,Harvest,21,60,230,17
Lettuce,Harvest,21,61,262,0
Lettuce,Harvest,22,63,229,17
Lettuce,Harvest,22,61,207,0
Lettuce,Harvest,22,60,190,17
Lettuce,Harvest,22,59,275,9
Lettuce,Harvest,22,59,238,0
Lettuce,Harvest,22,59,364,89
Lettuce,Harvest,22,60,305,102
Lettuce,Harvest,21,61,265,57
Lettuce,Harvest,22,62,232,0
Lettuce,Harvest,21,62,210,37
Lettuce,Harvest,22,62,192,73
Lettuce,Harvest,21,62,178,45
Lettuce,Set,21,54,362,106
Lettuce,Set,22,53,356,49
Lettuce,Set,22,53,511,21
Lettuce,Set,22,51,396,69
Lettuce,Set,22,51,375,122
Lettuce,Set,22,52,357,114
Lettuce,Set,23,50,342,85
Lettuce,Set,22,50,346,37
Lettuce,Set,22,53,393,89
Lettuce,Set,22,52,373,134
Lettuce,Set,22,52,356,93
Lettuce,Set,22,52,339,85
Lettuce,Set,22,52,319,102
Lettuce,Set,22,53,306,85
